Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-08
Horizontal Delay,0.000945365
Sample Interval,2e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-3.54
,
,
,
Label,
TIME,CH4
9.445353e-04,0.01
9.445355e-04,0.03
9.445357e-04,0.03
9.445359e-04,0.03
9.445361e-04,0.03
9.445363e-04,0.05
9.445365e-04,0.01
9.445367e-04,0.01
9.445369e-04,0.01
9.445371e-04,0.01
9.445373e-04,0.01
9.445375e-04,0.05
9.445377e-04,0.03
9.445379e-04,0.03
9.445381e-04,0.03
9.445383e-04,0.03
9.445385e-04,0.01
9.445387e-04,0.03
9.445389e-04,0.01
9.445391e-04,0.01
9.445393e-04,-0.01
9.445395e-04,0.03
9.445397e-04,0.01
9.445399e-04,0.03
9.445401e-04,-0.01
9.445403e-04,0.01
9.445405e-04,0.05
9.445407e-04,0.03
9.445409e-04,0.05
9.445411e-04,0.03
9.445413e-04,0.01
9.445415e-04,0.01
9.445417e-04,-0.01
9.445419e-04,0.05
9.445421e-04,0.05
9.445423e-04,0.01
9.445425e-04,0.01
9.445427e-04,-0.01
9.445429e-04,0.03
9.445431e-04,0.03
9.445433e-04,0.03
9.445435e-04,0.01
9.445437e-04,0.05
9.445439e-04,0.03
9.445441e-04,0.03
9.445443e-04,0.03
9.445445e-04,0.03
9.445447e-04,0.03
9.445449e-04,0.03
9.445451e-04,0.01
9.445453e-04,0.01
9.445455e-04,-0.01
9.445457e-04,0.03
9.445459e-04,0.01
9.445461e-04,-0.01
9.445463e-04,0.01
9.445465e-04,-0.01
9.445467e-04,0.01
9.445469e-04,0.01
9.445471e-04,0.01
9.445473e-04,0.01
9.445475e-04,0.03
9.445477e-04,-0.03
9.445479e-04,0.01
9.445481e-04,0.01
9.445483e-04,0.03
9.445485e-04,0.03
9.445487e-04,-0.01
9.445489e-04,0.01
9.445491e-04,0.01
9.445493e-04,0.01
9.445495e-04,0.01
9.445497e-04,0.03
9.445499e-04,0.01
9.445501e-04,0.01
9.445503e-04,0.03
9.445505e-04,0.01
9.445507e-04,0.01
9.445509e-04,0.03
9.445511e-04,-0.01
9.445513e-04,0.03
9.445515e-04,0.01
9.445517e-04,0.01
9.445519e-04,0.01
9.445521e-04,0.01
9.445523e-04,0.01
9.445525e-04,0.01
9.445527e-04,0.03
9.445529e-04,0.01
9.445531e-04,0.01
9.445533e-04,0.01
9.445535e-04,-0.01
9.445537e-04,-0.01
9.445539e-04,0.03
