Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-08
Horizontal Delay,0.000945352
Sample Interval,2e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-1.98
,
,
,
Label,
TIME,CH4
9.445170e-04,0.06
9.445172e-04,-0.02
9.445174e-04,0.02
9.445176e-04,0.02
9.445178e-04,0.02
9.445180e-04,0.02
9.445182e-04,0.02
9.445184e-04,0.02
9.445186e-04,0.02
9.445188e-04,0.02
9.445190e-04,0.02
9.445192e-04,0.06
9.445194e-04,0.06
9.445196e-04,0.02
9.445198e-04,0.02
9.445200e-04,0.02
9.445202e-04,0.06
9.445204e-04,0.02
9.445206e-04,0.06
9.445208e-04,0.02
9.445210e-04,0.1
9.445212e-04,0.02
9.445214e-04,0.02
9.445216e-04,-0.02
9.445218e-04,0.02
9.445220e-04,0.06
9.445222e-04,0.06
9.445224e-04,0.02
9.445226e-04,0.02
9.445228e-04,0.02
9.445230e-04,0.02
9.445232e-04,0.02
9.445234e-04,0.02
9.445236e-04,0.02
9.445238e-04,0.02
9.445240e-04,0.06
9.445242e-04,0.06
9.445244e-04,0.06
9.445246e-04,0.02
9.445248e-04,0.02
9.445250e-04,0.06
9.445252e-04,0.02
9.445254e-04,0.02
9.445256e-04,0.06
9.445258e-04,-0.02
9.445260e-04,-0.02
9.445262e-04,-0.02
9.445264e-04,0.02
9.445266e-04,0.06
9.445268e-04,0.02
9.445270e-04,-0.02
9.445272e-04,-0.02
9.445274e-04,0.02
9.445276e-04,0.02
9.445278e-04,-0.02
9.445280e-04,0.02
9.445282e-04,0.02
9.445284e-04,0.02
9.445286e-04,0.06
9.445288e-04,0.06
9.445290e-04,0.02
9.445292e-04,0.06
9.445294e-04,0.02
9.445296e-04,-0.02
9.445298e-04,-0.02
9.445300e-04,0.02
9.445302e-04,0.1
9.445304e-04,0.06
9.445306e-04,0.02
9.445308e-04,0.02
9.445310e-04,0.02
9.445312e-04,0.02
9.445314e-04,-0.02
9.445316e-04,0.06
9.445318e-04,0.06
9.445320e-04,0.06
9.445322e-04,-0.02
9.445324e-04,-0.02
9.445326e-04,0.02
9.445328e-04,0.02
9.445330e-04,0.02
9.445332e-04,-0.02
9.445334e-04,0.06
9.445336e-04,0.02
9.445338e-04,0.1
9.445340e-04,0.06
9.445342e-04,0.02
9.445344e-04,0.02
9.445346e-04,0.02
9.445348e-04,0.02
9.445350e-04,0.02
9.445352e-04,0.02
9.445354e-04,0.02
9.445356e-04,0.02
9.445358e-04,0.02
9.445360e-04,-0.02
9.445362e-04,0.02
9.445364e-04,0.02
9.445366e-04,0.06
9.445368e-04,0.02
9.445370e-04,0.06
9.445372e-04,0.02
9.445374e-04,0.06
9.445376e-04,0.02
9.445378e-04,0.02
9.445380e-04,-0.02
9.445382e-04,0.02
9.445384e-04,0.02
9.445386e-04,0.02
9.445388e-04,0.02
9.445390e-04,0.02
9.445392e-04,0.06
9.445394e-04,0.06
9.445396e-04,0.06
9.445398e-04,-0.02
9.445400e-04,-0.02
9.445402e-04,0.02
9.445404e-04,0.06
9.445406e-04,0.06
9.445408e-04,0.02
9.445410e-04,0.02
9.445412e-04,0.02
9.445414e-04,0.06
9.445416e-04,0.06
9.445418e-04,0.02
9.445420e-04,0.02
9.445422e-04,0.02
9.445424e-04,-0.02
9.445426e-04,0.06
9.445428e-04,0.02
9.445430e-04,0.02
9.445432e-04,0.02
9.445434e-04,0.02
9.445436e-04,0.06
9.445438e-04,0.06
9.445440e-04,0.06
9.445442e-04,0.06
9.445444e-04,0.02
9.445446e-04,0.02
9.445448e-04,0.02
9.445450e-04,0.06
9.445452e-04,0.06
9.445454e-04,0.06
9.445456e-04,0.02
9.445458e-04,0.02
9.445460e-04,0.06
9.445462e-04,0.02
9.445464e-04,0.02
9.445466e-04,0.06
9.445468e-04,0.02
9.445470e-04,-0.02
9.445472e-04,0.02
9.445474e-04,0.06
9.445476e-04,0.06
9.445478e-04,0.06
9.445480e-04,0.02
9.445482e-04,0.06
9.445484e-04,0.02
9.445486e-04,0.06
9.445488e-04,0.02
9.445490e-04,-0.02
9.445492e-04,-0.02
9.445494e-04,-0.02
9.445496e-04,0.02
9.445498e-04,0.06
9.445500e-04,0.06
9.445502e-04,0.06
9.445504e-04,0.02
9.445506e-04,0.02
9.445508e-04,0.02
9.445510e-04,0.02
9.445512e-04,0.02
9.445514e-04,0.02
9.445516e-04,0.02
9.445518e-04,0.06
9.445520e-04,0.02
9.445522e-04,0.02
9.445524e-04,0.06
9.445526e-04,-0.02
9.445528e-04,0.02
9.445530e-04,0.06
9.445532e-04,0.02
9.445534e-04,-0.02
9.445536e-04,0.02
9.445538e-04,0.02
9.445540e-04,0.02
9.445542e-04,0.02
9.445544e-04,0.02
9.445546e-04,0.02
9.445548e-04,0.02
9.445550e-04,0.02
9.445552e-04,0.06
9.445554e-04,0.02
9.445556e-04,0.06
9.445558e-04,0.02
9.445560e-04,0.06
9.445562e-04,0.06
9.445564e-04,0.06
9.445566e-04,0.06
9.445568e-04,0.02
9.445570e-04,0.02
9.445572e-04,0.06
9.445574e-04,0.06
9.445576e-04,0.06
9.445578e-04,0.02
9.445580e-04,0.02
9.445582e-04,0.02
9.445584e-04,0.02
9.445586e-04,0.02
9.445588e-04,0.02
9.445590e-04,0.06
9.445592e-04,0.02
9.445594e-04,0.06
9.445596e-04,0.02
9.445598e-04,0.06
9.445600e-04,0.02
9.445602e-04,0.02
9.445604e-04,0.06
9.445606e-04,0.06
9.445608e-04,0.06
9.445610e-04,0.02
9.445612e-04,0.06
9.445614e-04,0.02
9.445616e-04,0.06
9.445618e-04,0.02
9.445620e-04,0.02
9.445622e-04,0.06
9.445624e-04,0.06
9.445626e-04,0.06
9.445628e-04,0.02
9.445630e-04,0.02
9.445632e-04,0.02
9.445634e-04,0.02
9.445636e-04,0.02
9.445638e-04,-0.02
9.445640e-04,0.02
9.445642e-04,0.02
9.445644e-04,0.02
9.445646e-04,-0.02
9.445648e-04,0.02
9.445650e-04,0.02
9.445652e-04,0.06
9.445654e-04,0.06
9.445656e-04,0.06
9.445658e-04,0.06
9.445660e-04,0.06
9.445662e-04,0.02
9.445664e-04,0.02
9.445666e-04,0.06
9.445668e-04,0.02
9.445670e-04,0.02
9.445672e-04,0.06
9.445674e-04,0.06
