Model,DPO4104
Firmware Version,2.68

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-05
Horizontal Delay,0.00096833
Sample Interval,1e-08
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.98
,
,
,
Label,
TIME,CH4
9.252300e-04,0.03
9.252400e-04,0.03
9.252500e-04,0.01
9.252600e-04,0.01
9.252700e-04,0.01
9.252800e-04,0.05
9.252900e-04,-0.01
9.253000e-04,0.01
9.253100e-04,0.03
9.253200e-04,0.03
9.253300e-04,0.01
9.253400e-04,0.03
9.253500e-04,0.03
9.253600e-04,0.03
9.253700e-04,0.05
9.253800e-04,0.01
9.253900e-04,0.01
9.254000e-04,-0.01
9.254100e-04,0.03
9.254200e-04,0.03
9.254300e-04,0.01
9.254400e-04,-0.01
9.254500e-04,0.01
9.254600e-04,0.01
9.254700e-04,0.01
9.254800e-04,0.03
9.254900e-04,0.01
9.255000e-04,0.03
9.255100e-04,0.01
9.255200e-04,0.01
9.255300e-04,0.03
9.255400e-04,0.03
9.255500e-04,0.01
9.255600e-04,0.01
9.255700e-04,0.03
9.255800e-04,0.01
9.255900e-04,0.01
9.256000e-04,0.01
9.256100e-04,0.01
9.256200e-04,0.01
9.256300e-04,0.03
9.256400e-04,0.01
9.256500e-04,0.03
9.256600e-04,0.01
9.256700e-04,0.01
9.256800e-04,0.03
9.256900e-04,0.01
9.257000e-04,0.01
9.257100e-04,0.01
9.257200e-04,0.03
9.257300e-04,0.03
9.257400e-04,0.01
9.257500e-04,-0.01
9.257600e-04,-0.01
9.257700e-04,0.03
9.257800e-04,0.01
9.257900e-04,0.03
9.258000e-04,0.03
9.258100e-04,-0.01
9.258200e-04,0.01
9.258300e-04,0.01
9.258400e-04,0.03
9.258500e-04,0.03
9.258600e-04,0.01
9.258700e-04,0.01
9.258800e-04,0.01
9.258900e-04,0.01
9.259000e-04,0.01
9.259100e-04,0.03
9.259200e-04,0.01
9.259300e-04,0.01
9.259400e-04,0.03
9.259500e-04,0.01
9.259600e-04,0.03
9.259700e-04,0.03
9.259800e-04,0.01
9.259900e-04,0.01
9.260000e-04,0.03
9.260100e-04,0.01
9.260200e-04,0.01
9.260300e-04,0.01
9.260400e-04,0.03
9.260500e-04,0.03
9.260600e-04,0.01
9.260700e-04,0.01
9.260800e-04,0.03
9.260900e-04,0.01
9.261000e-04,0.03
9.261100e-04,0.03
9.261200e-04,0.01
9.261300e-04,0.03
9.261400e-04,0.01
9.261500e-04,0.01
9.261600e-04,0.01
9.261700e-04,0.01
9.261800e-04,0.01
9.261900e-04,0.03
9.262000e-04,0.01
9.262100e-04,-0.01
9.262200e-04,0.01
9.262300e-04,0.03
9.262400e-04,0.01
9.262500e-04,0.03
9.262600e-04,-0.01
9.262700e-04,0.01
9.262800e-04,0.01
9.262900e-04,0.01
9.263000e-04,0.01
9.263100e-04,0.01
9.263200e-04,0.03
9.263300e-04,0.03
9.263400e-04,0.01
9.263500e-04,0.03
9.263600e-04,0.03
9.263700e-04,0.03
9.263800e-04,0.01
9.263900e-04,0.01
9.264000e-04,0.01
9.264100e-04,0.01
9.264200e-04,0.01
9.264300e-04,0.01
9.264400e-04,0.01
9.264500e-04,0.01
9.264600e-04,0.03
9.264700e-04,0.03
9.264800e-04,0.01
9.264900e-04,0.03
9.265000e-04,0.03
9.265100e-04,0.03
9.265200e-04,0.01
9.265300e-04,0.03
9.265400e-04,0.01
9.265500e-04,0.03
9.265600e-04,0.03
9.265700e-04,0.01
9.265800e-04,0.01
9.265900e-04,0.01
9.266000e-04,0.01
9.266100e-04,-0.01
9.266200e-04,0.01
9.266300e-04,-0.01
9.266400e-04,0.01
9.266500e-04,0.03
9.266600e-04,0.01
9.266700e-04,0.01
9.266800e-04,0.03
9.266900e-04,0.05
9.267000e-04,0.01
9.267100e-04,0.03
9.267200e-04,0.03
9.267300e-04,0.01
9.267400e-04,0.03
9.267500e-04,0.01
9.267600e-04,0.01
9.267700e-04,0.01
9.267800e-04,0.01
9.267900e-04,0.01
9.268000e-04,0.01
9.268100e-04,0.01
9.268200e-04,0.03
9.268300e-04,0.01
9.268400e-04,0.01
9.268500e-04,0.03
9.268600e-04,0.03
9.268700e-04,0.01
9.268800e-04,-0.01
9.268900e-04,0.01
9.269000e-04,0.01
9.269100e-04,0.01
9.269200e-04,0.01
9.269300e-04,0.05
9.269400e-04,0.01
9.269500e-04,0.01
9.269600e-04,0.03
9.269700e-04,0.03
9.269800e-04,0.03
9.269900e-04,0.01
9.270000e-04,-0.01
9.270100e-04,0.03
9.270200e-04,0.01
9.270300e-04,0.01
9.270400e-04,0.01
9.270500e-04,-0.01
9.270600e-04,0.03
9.270700e-04,0.01
9.270800e-04,0.01
9.270900e-04,0.01
9.271000e-04,0.01
9.271100e-04,0.01
9.271200e-04,0.03
9.271300e-04,0.03
9.271400e-04,-0.01
9.271500e-04,0.01
9.271600e-04,0.01
9.271700e-04,-0.01
9.271800e-04,0.01
9.271900e-04,0.03
9.272000e-04,0.01
9.272100e-04,0.01
9.272200e-04,0.01
9.272300e-04,0.03
9.272400e-04,0.03
9.272500e-04,0.03
9.272600e-04,0.01
9.272700e-04,0.01
9.272800e-04,0.03
9.272900e-04,0.01
9.273000e-04,0.01
9.273100e-04,0.01
9.273200e-04,0.01
9.273300e-04,0.01
9.273400e-04,0.01
9.273500e-04,0.01
9.273600e-04,0.01
9.273700e-04,0.01
9.273800e-04,0.01
9.273900e-04,0.01
9.274000e-04,0.01
9.274100e-04,0.03
9.274200e-04,0.01
9.274300e-04,0.03
9.274400e-04,0.01
9.274500e-04,0.01
9.274600e-04,-0.01
9.274700e-04,0.01
9.274800e-04,0.01
9.274900e-04,0.01
9.275000e-04,0.01
9.275100e-04,0.01
9.275200e-04,0.01
9.275300e-04,0.01
9.275400e-04,0.01
9.275500e-04,0.01
9.275600e-04,0.03
9.275700e-04,0.05
9.275800e-04,0.03
9.275900e-04,0.05
9.276000e-04,0.01
9.276100e-04,0.01
9.276200e-04,-0.01
9.276300e-04,0.01
9.276400e-04,0.01
9.276500e-04,0.03
9.276600e-04,0.01
9.276700e-04,0.01
9.276800e-04,0.01
9.276900e-04,0.03
9.277000e-04,0.01
9.277100e-04,-0.01
9.277200e-04,0.03
9.277300e-04,0.01
9.277400e-04,0.01
9.277500e-04,0.01
9.277600e-04,0.03
9.277700e-04,0.03
9.277800e-04,0.01
9.277900e-04,0.01
9.278000e-04,0.01
9.278100e-04,0.01
9.278200e-04,0.05
9.278300e-04,0.01
9.278400e-04,0.01
9.278500e-04,-0.01
9.278600e-04,0.03
9.278700e-04,0.01
9.278800e-04,-0.01
9.278900e-04,0.01
9.279000e-04,0.01
9.279100e-04,0.03
9.279200e-04,-0.01
9.279300e-04,0.01
9.279400e-04,0.03
9.279500e-04,0.01
9.279600e-04,0.01
9.279700e-04,-0.01
9.279800e-04,0.01
9.279900e-04,0.01
9.280000e-04,0.01
9.280100e-04,0.01
9.280200e-04,0.01
9.280300e-04,0.03
9.280400e-04,0.03
9.280500e-04,0.01
9.280600e-04,0.01
9.280700e-04,0.03
9.280800e-04,0.01
9.280900e-04,0.05
9.281000e-04,0.03
9.281100e-04,-0.01
9.281200e-04,0.03
9.281300e-04,0.01
9.281400e-04,0.01
9.281500e-04,0.03
9.281600e-04,-0.01
9.281700e-04,0.01
9.281800e-04,0.01
9.281900e-04,0.01
9.282000e-04,0.03
9.282100e-04,0.01
9.282200e-04,0.01
9.282300e-04,-0.01
9.282400e-04,0.01
9.282500e-04,-0.01
9.282600e-04,0.01
9.282700e-04,0.01
9.282800e-04,0.03
9.282900e-04,0.01
9.283000e-04,0.01
9.283100e-04,0.01
9.283200e-04,0.01
9.283300e-04,0.03
9.283400e-04,0.03
9.283500e-04,0.01
9.283600e-04,0.01
9.283700e-04,0.03
9.283800e-04,-0.01
9.283900e-04,0.01
9.284000e-04,0.01
9.284100e-04,0.03
9.284200e-04,0.01
9.284300e-04,0.01
9.284400e-04,0.03
9.284500e-04,0.03
9.284600e-04,0.01
9.284700e-04,0.03
9.284800e-04,0.01
9.284900e-04,-0.01
9.285000e-04,-0.01
9.285100e-04,0.03
9.285200e-04,0.03
9.285300e-04,0.01
9.285400e-04,0.03
9.285500e-04,0.01
9.285600e-04,0.01
9.285700e-04,0.01
9.285800e-04,0.01
9.285900e-04,0.01
9.286000e-04,0.01
9.286100e-04,-0.01
9.286200e-04,0.01
9.286300e-04,0.01
9.286400e-04,0.01
9.286500e-04,0.01
9.286600e-04,0.03
9.286700e-04,0.01
9.286800e-04,0.03
9.286900e-04,0.01
9.287000e-04,-0.01
9.287100e-04,0.01
9.287200e-04,0.01
9.287300e-04,0.03
9.287400e-04,0.01
9.287500e-04,0.01
9.287600e-04,0.01
9.287700e-04,0.01
9.287800e-04,0.01
9.287900e-04,0.03
9.288000e-04,0.03
9.288100e-04,0.03
9.288200e-04,-0.01
9.288300e-04,0.03
9.288400e-04,0.03
9.288500e-04,0.03
9.288600e-04,0.03
9.288700e-04,0.01
9.288800e-04,0.03
9.288900e-04,0.03
9.289000e-04,0.01
9.289100e-04,0.01
9.289200e-04,0.01
9.289300e-04,0.01
9.289400e-04,0.01
9.289500e-04,0.03
9.289600e-04,-0.01
9.289700e-04,0.03
9.289800e-04,0.01
9.289900e-04,0.01
9.290000e-04,0.03
9.290100e-04,0.01
9.290200e-04,0.01
9.290300e-04,0.03
9.290400e-04,0.01
9.290500e-04,0.01
9.290600e-04,0.03
9.290700e-04,0.01
9.290800e-04,0.03
9.290900e-04,0.01
9.291000e-04,0.01
9.291100e-04,0.01
